organ,status,confidence,fragment_ids,suggested_next_action
Title,present,medium,frag-da03748eca,Add one corroborating or contrasting scholar fragment before drafting polished text.
Background,present,medium,frag-da03748eca,Add one corroborating or contrasting scholar fragment before drafting polished text.
Statement of Problem,present,medium,frag-da03748eca,Add one corroborating or contrasting scholar fragment before drafting polished text.
Research Gap,missing,weak,,Add a scholar fragment for Research Gap; keep it labelled scholar_input_not_evidence.
Research Questions,present,medium,frag-da03748eca,Add one corroborating or contrasting scholar fragment before drafting polished text.
Objectives,missing,weak,,Add a scholar fragment for Objectives; keep it labelled scholar_input_not_evidence.
Scope,missing,weak,,Add a scholar fragment for Scope; keep it labelled scholar_input_not_evidence.
Methodology,present,weak,frag-dd25b7172e,"Clarify the fragment, add source context, or ask the supervisor before drafting."
Conceptual Framework,present,weak,frag-dd25b7172e,"Clarify the fragment, add source context, or ask the supervisor before drafting."
Literature Clusters,missing,weak,,Add a scholar fragment for Literature Clusters; keep it labelled scholar_input_not_evidence.
Evidence Needs,missing,weak,,Add a scholar fragment for Evidence Needs; keep it labelled scholar_input_not_evidence.
Case / Region / Time Period,missing,weak,,Add a scholar fragment for Case / Region / Time Period; keep it labelled scholar_input_not_evidence.
Chapterisation / Structure,missing,weak,,Add a scholar fragment for Chapterisation / Structure; keep it labelled scholar_input_not_evidence.
Supervisor Questions,missing,weak,,Add a scholar fragment for Supervisor Questions; keep it labelled scholar_input_not_evidence.
Revision Tasks,missing,weak,,Add a scholar fragment for Revision Tasks; keep it labelled scholar_input_not_evidence.
